------------------------------OpenMP------------------------
integrate_omp_seq
         T	      Time	    Result	  Speedup
        45	 0.0330176	  0.666667	   53.5482
        46	 0.0325692	  0.666667	   54.2855
        47	 0.0327283	  0.666667	   54.0215
        48	 0.0315392	  0.666667	   56.0583
integrate_cpp_reduce_1
         T	      Time	    Result	  Speedup
         1	   2.60341	  0.666667	         1
         2	   2.51788	  0.666667	   1.03397
         3	   1.72896	  0.666667	   1.50577
         4	   1.71803	  0.666667	   1.51535
         5	    1.7182	  0.666667	    1.5152
         6	   1.71834	  0.666667	   1.51508
         7	   1.71814	  0.666667	   1.51525
         8	   1.71834	  0.666667	   1.51507
         9	   1.71807	  0.666667	   1.51531
        10	   1.71813	  0.666667	   1.51526
        11	   1.71807	  0.666667	   1.51531
        12	   1.71822	  0.666667	   1.51518
        13	   1.71854	  0.666667	   1.51489
        14	   1.71821	  0.666667	   1.51519
        15	   1.71799	  0.666667	   1.51538
        16	   1.71815	  0.666667	   1.51524
        17	   1.71803	  0.666667	   1.51535
        18	   1.71829	  0.666667	   1.51512
        19	   1.71849	  0.666667	   1.51495
        20	   1.71824	  0.666667	   1.51517
        21	   1.71834	  0.666667	   1.51508
        22	   1.71816	  0.666667	   1.51523
        23	   1.71814	  0.666667	   1.51525
        24	   1.71808	  0.666667	    1.5153
        25	   1.71806	  0.666667	   1.51533
        26	    1.7184	  0.666667	   1.51502
        27	   1.71835	  0.666667	   1.51507
        28	   1.71826	  0.666667	   1.51515
        29	   1.71833	  0.666667	   1.51508
        30	   1.71821	  0.666667	   1.51519
        31	   1.71822	  0.666667	   1.51518
        32	   1.71818	  0.666667	   1.51521
        33	   1.71801	  0.666667	   1.51536
        34	   1.71814	  0.666667	   1.51525
        35	   1.71826	  0.666667	   1.51515
        36	   1.71809	  0.666667	   1.51529
        37	   1.71811	  0.666667	   1.51528
        38	   1.71808	  0.666667	   1.51531
        39	   1.71815	  0.666667	   1.51524
        40	   1.71828	  0.666667	   1.51513
        41	   1.71805	  0.666667	   1.51533
        42	   1.71805	  0.666667	   1.51533
        43	   1.71832	  0.666667	   1.51509
        44	   1.71815	  0.666667	   1.51524
        45	   1.71819	  0.666667	   1.51521
        46	   1.71803	  0.666667	   1.51535
        47	   1.71818	  0.666667	   1.51522
        48	   1.71806	  0.666667	   1.51532
integrate_cpp_reduce_2
         T	      Time	    Result	  Speedup
         1	  0.763271	  0.666667	         1
         2	  0.485252	  0.666667	   1.57294
         3	  0.447405	  0.666667	     1.706
         4	  0.378054	  0.666667	   2.01895
         5	   0.28257	  0.666667	   2.70118
         6	  0.243905	  0.666667	   3.12938
